INDEX,INDEX_1,INDEX_1_1,DATE,OBJECT,RA,DEC,X_IMAGE,Y_IMAGE,SOURCES,TEMPLATE_PATH,SCIENCE_PATH,DIFFERENCE_PATH,PDF_PATH
0,0,0,2024-10-10,NGC6796,290.3788515,61.1459805,4000.0,5476.0,445,/data/transient/AUTOGLASS/Survey_xl130/template/NGC6796_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-10/RPJ_IMAGE/2024-10-10_NGC6796_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-10/DIF_IMAGE/2024-10-10_NGC6796_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-10/PDF/2024-10-10_NGC6796_L_com_3_rpj_diff.pdf
1,180,58,2024-10-08,PGC008852,34.8174585,31.3985278,10536.0,4988.0,1,/data/transient/AUTOGLASS/Survey_xl106/template/UGC01924_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_UGC01924_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-08/DIF_IMAGE/2024-10-08_UGC01924_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-08/PDF/2024-10-08_UGC01924_L_com_3_rpj_diff.pdf
2,153,1,2024-10-08,AGESJ223627+234258,339.1159785,23.7165,5040.0,5092.0,41,/data/transient/AUTOGLASS/Survey_xl130/template/NGC7332_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_NGC7332_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_NGC7332_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_NGC7332_L_com_3_rpj_diff.pdf
3,154,2,2024-10-08,PGC074820,54.675216,-18.8997341,6684.0,6372.0,29,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
4,155,3,2024-10-08,PGC074830,54.768642,-18.5321295,6280.0,8064.0,16,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
5,156,4,2024-10-08,PGC074838,54.8463345,-18.758424,5940.0,7024.0,34,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
6,157,5,2024-10-08,PGC074866,55.0423725,-18.9443003,5088.0,6172.0,80,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
7,158,6,2024-10-08,PGC074867,55.0557915,-18.319,5032.0,9048.0,7,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
8,159,7,2024-10-08,PGC074868,55.0663005,-19.081747,4980.0,5540.0,68,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
9,160,8,2024-10-08,PGC074880,55.140573,-18.6507308,4660.0,7520.0,25,/data/transient/AUTOGLASS/Survey_xl130/template/ESO548-073_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/RPJ_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/DIF_IMAGE/2024-10-08_ESO548-073_L_com_1_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-08/PDF/2024-10-08_ESO548-073_L_com_1_rpj_diff.pdf
